18-Feb-2015 14:32:43:055, INFO, balancing incidence table 4 has 2103 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:43:056, INFO, balancing incidence table 5 has 2103 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:43:057, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:43:153, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:43:327, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:43:513, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:43:688, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:43:889, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:44:152, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:44:441, INFO, combining final incidence tables.
18-Feb-2015 14:32:44:442, INFO, balancing incidence table 0 has 1993 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:44:444, INFO, balancing incidence table 1 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:44:446, INFO, balancing incidence table 2 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:44:448, INFO, balancing incidence table 3 has 1993 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:44:449, INFO, balancing incidence table 4 has 1993 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:44:451, INFO, balancing incidence table 5 has 1993 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:44:453, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:44:566, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:44:748, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:44:908, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:45:071, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:45:244, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:45:519, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:45:821, INFO, combining final incidence tables.
18-Feb-2015 14:32:45:822, INFO, balancing incidence table 0 has 2282 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
18-Feb-2015 14:32:45:824, INFO, balancing incidence table 1 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:45:825, INFO, balancing incidence table 2 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:45:827, INFO, balancing incidence table 3 has 2282 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
18-Feb-2015 14:32:45:828, INFO, balancing incidence table 4 has 2282 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
18-Feb-2015 14:32:45:830, INFO, balancing incidence table 5 has 2282 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
18-Feb-2015 14:32:45:831, INFO, balancing incidence table total households control index = 0.
18-Feb-2015 14:32:45:926, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
18-Feb-2015 14:32:46:052, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
18-Feb-2015 14:32:46:225, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
18-Feb-2015 14:32:46:397, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
18-Feb-2015 14:32:46:572, INFO, getting County Level META Control: Number of persons by age group count incidence table.
18-Feb-2015 14:32:46:832, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
18-Feb-2015 14:32:47:115, INFO, combining final incidence tables.
18-Feb-2015 14:32:47:117, INFO, balancing incidence table 0 has 1689 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
