MAZ,2010 HH
12447,152
12451,0
12452,23
12454,54
12455,53
12458,50
12459,53
12460,70
12461,53
12462,64
12463,57
12464,69
12465,48
12466,60
12467,46
12469,35
12473,148
12474,36
12475,73
12476,139
12488,0
12489,265
12491,92
12492,55
12494,0
12495,0
12496,176
12498,131
12499,167
12500,200
12501,218
12506,125
12509,106
12514,78
12515,88
12516,0
12517,0
12518,85
12521,224
12522,109
12523,194
12524,116
12525,88
12527,82
12529,99
12530,194
12531,101
12532,178
12533,125
12534,85
12538,94
12539,40
12540,119
12541,156
12542,161
12543,86
12544,38
12545,139
12546,127
12547,68
12548,186
12549,292
12550,319
12551,163
12552,68
12553,77
12554,104
12555,79
12557,121
12558,91
12561,51
12562,68
12563,114
12564,82
12567,81
12568,45
12569,35
12570,50
12572,147
12574,0
12577,415
12578,0
12582,0
12588,48
12591,611
12595,0
12599,45
12600,118
12601,177
12602,89
12604,154
12605,616
12607,53
12608,32
12611,102
12616,23
12617,41
12618,78
12619,36
12623,24
12628,102
12629,145
12630,146
12632,155
12633,178
12634,129
12635,103
12636,186
12641,56
12642,63
12643,48
12644,58
12645,44
12646,31
12648,31
12649,41
12654,75
12656,0
12657,51
12658,52
12659,45
12660,0
12661,48
12662,1
12665,68
12668,110
12670,107
12671,88
12672,0
12673,138
12674,49
12676,125
12680,115
12682,29
12683,22
12684,7
12686,157
12691,84
12692,295
12694,92
12695,147
12700,56
12701,58
12702,11
12703,0
12704,1
12705,0
12706,50
12707,0
12715,94
12718,0
12720,94
12725,37
12727,7
12732,29
12733,45
12734,70
12735,45
12737,57
12738,59
12739,150
12740,69
12741,41
12742,43
12744,76
12745,51
12747,100
12749,12
12750,44
12751,88
12753,39
12754,56
12756,9
12757,26
12758,43
12759,0
12760,0
12769,157
12771,297
12772,241
12773,328
12774,230
12776,0
12777,462
12779,22
12780,54
12785,94
12786,54
12787,54
12788,72
12789,52
12790,24
12791,48
12792,46
12793,54
12794,50
12795,71
12796,65
12797,60
12798,32
12801,57
12802,43
12803,20
12805,77
12808,47
12811,87
12812,0
12813,58
12814,145
12816,127
12817,275
12818,103
12819,214
12820,334
12821,192
12822,339
12824,35
12825,38
12826,28
12827,49
12828,70
12829,35
12830,48
12831,0
12832,66
12833,182
12834,51
12838,53
12839,51
12840,53
12841,62
12842,56
12843,53
12844,49
12845,56
12846,51
12847,49
12848,21
12849,89
12851,67
12855,26
12860,7
12862,0
12863,62
12864,42
12865,41
12868,78
12870,89
12872,27
12873,27
12874,58
12875,45
12876,29
12877,81
12878,71
12879,99
12880,34
12881,37
12883,35
12884,1
12885,49
12886,57
12887,48
12888,37
12890,16
12891,40
12895,37
12896,41
12897,42
12898,26
12902,50
12906,0
12911,39
12913,0
12915,0
12918,30
12920,0
12921,62
12922,24
12923,161
12924,185
12927,21
12928,11
12934,115
12937,61
12938,25
12939,47
12940,60
12941,72
12942,44
12943,51
12944,38
12945,64
12946,44
12948,2
12949,44
12951,145
12958,150
12959,213
12960,62
12961,58
12962,68
12963,54
12964,83
12965,77
12967,190
12968,0
12969,84
12970,83
12971,26
12976,54
12985,80
12986,153
12987,46
12988,13
12989,52
12990,31
12991,63
12993,36
12994,32
12995,17
12996,34
12997,26
12998,41
12999,37
13003,72
13005,160
13013,59
13018,51
13020,91
13021,56
13022,50
13024,77
13025,53
13026,129
13027,54
13028,61
13029,70
13030,261
13033,0
13034,162
13035,137
13037,57
13038,49
13039,46
13043,77
13044,46
13046,38
13047,30
13048,79
13052,87
13054,53
13061,62
13063,88
13065,139
13066,146
13068,0
13072,73
13073,0
13074,56
13075,47
13076,110
13077,0
13078,1
13079,0
13080,0
13081,0
13082,0
13085,144
13086,2
13087,401
13089,0
13096,43
13097,65
13098,42
13100,110
13103,66
13106,0
13107,129
13108,34
13112,253
13113,444
13114,55
13115,307
13117,81
13119,168
13121,73
13124,0
13127,66
13129,13
13130,48
13131,57
13133,0
13134,49
13135,38
13136,58
13137,57
13138,162
13139,53
13142,71
13144,111
13146,73
13147,94
13148,95
13149,63
13150,53
13152,58
13153,62
13154,48
13155,60
13157,120
13158,0
13159,0
13160,0
13161,1
13162,0
13163,0
13164,0
13171,0
13175,50
13176,164
13177,0
13179,201
13182,3
13185,84
13186,56
13187,151
13189,0
13193,81
13198,27
13201,75
13204,37
13205,43
13206,40
13208,32
13210,47
13213,64
13214,102
13215,573
13217,0
13218,0
13219,91
13221,91
13226,59
13227,82
13229,0
13230,169
13233,14
13235,0
13236,83
13238,82
13239,69
13240,52
13241,44
13244,2
13249,0
13259,27
13260,28
13261,68
13262,38
13263,27
13267,26
13269,46
13270,95
13271,48
13275,43
13277,325
13280,39
13281,0
13282,54
13286,66
13287,65
13288,0
13289,47
13293,47
13297,205
13298,1
13300,110
13301,290
13302,258
13303,413
13304,341
13305,245
13306,167
13307,0
13308,0
13309,96
13310,0
13314,0
