14-Oct-2016 16:21:40:863, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:21:41:716, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:21:42:722, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
14-Oct-2016 16:21:43:569, INFO, getting County Level META Control: Number of persons by age group count incidence table.
14-Oct-2016 16:21:45:849, INFO, getting County Level META Control: Number of persons by occupation category count incidence table.
14-Oct-2016 16:21:47:993, INFO, combining final incidence tables.
14-Oct-2016 16:21:47:993, INFO, balancing incidence table 0 has 1616 rows and 1 columns.  Input table columns [ 0 ] were added to final incidence.
14-Oct-2016 16:21:47:996, INFO, balancing incidence table 1 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:47:996, INFO, balancing incidence table 2 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:47:996, INFO, balancing incidence table 3 has 1616 rows and 4 columns.  Input table columns [ 0 1 2 3 ] were added to final incidence.
14-Oct-2016 16:21:47:996, INFO, balancing incidence table 4 has 1616 rows and 3 columns.  Input table columns [ 0 1 2 ] were added to final incidence.
14-Oct-2016 16:21:47:996, INFO, balancing incidence table 5 has 1616 rows and 6 columns.  Input table columns [ 0 1 2 3 4 5 ] were added to final incidence.
14-Oct-2016 16:21:47:996, INFO, balancing incidence table total households control index = 0.
14-Oct-2016 16:21:49:129, INFO, getting MAZ Level Control: Total Number of Households simple incidence table.
14-Oct-2016 16:21:50:049, INFO, getting TAZ Level Control: Number of Households by Household Income simple incidence table.
14-Oct-2016 16:21:50:879, INFO, getting County Level META Control: Number of Households by Persons per Households simple incidence table.
14-Oct-2016 16:21:51:845, INFO, getting County Level META Control: Number of Households by number of workers simple incidence table.
